8.8.8.8,9ms,Wed Dec  4 14:33:31 2019
8.8.8.8,8ms,Wed Dec  4 14:33:46 2019
8.8.8.8,8ms,Wed Dec  4 14:34:01 2019
8.8.8.8,9ms,Wed Dec  4 14:34:16 2019
8.8.8.8,9ms,Wed Dec  4 14:34:31 2019
8.8.8.8,9ms,Wed Dec  4 14:34:46 2019
8.8.8.8,8ms,Wed Dec  4 14:35:01 2019
8.8.8.8,8ms,Wed Dec  4 14:35:16 2019
8.8.8.8,9ms,Wed Dec  4 14:35:31 2019
8.8.8.8,8ms,Wed Dec  4 14:35:46 2019
8.8.8.8,9ms,Wed Dec  4 14:36:01 2019
8.8.8.8,9ms,Wed Dec  4 14:36:16 2019
8.8.8.8,8ms,Wed Dec  4 14:36:31 2019
8.8.8.8,8ms,Wed Dec  4 14:36:46 2019
8.8.8.8,8ms,Wed Dec  4 14:37:01 2019
8.8.8.8,11ms,Wed Dec  4 14:37:16 2019
8.8.8.8,8ms,Wed Dec  4 14:37:31 2019
8.8.8.8,46ms,Wed Dec  4 14:37:46 2019
8.8.8.8,8ms,Wed Dec  4 14:38:01 2019
8.8.8.8,14ms,Wed Dec  4 14:38:16 2019
8.8.8.8,8ms,Wed Dec  4 14:38:31 2019
8.8.8.8,20ms,Wed Dec  4 14:38:47 2019
8.8.8.8,8ms,Wed Dec  4 14:39:02 2019
8.8.8.8,9ms,Wed Dec  4 14:39:17 2019
8.8.8.8,8ms,Wed Dec  4 14:39:32 2019
8.8.8.8,8ms,Wed Dec  4 14:39:47 2019
8.8.8.8,8ms,Wed Dec  4 14:40:02 2019
8.8.8.8,8ms,Wed Dec  4 14:40:17 2019
8.8.8.8,13ms,Wed Dec  4 14:40:32 2019
8.8.8.8,9ms,Wed Dec  4 14:40:47 2019
8.8.8.8,8ms,Wed Dec  4 14:41:02 2019
8.8.8.8,8ms,Wed Dec  4 14:41:17 2019
8.8.8.8,8ms,Wed Dec  4 14:41:32 2019
8.8.8.8,9ms,Wed Dec  4 14:41:47 2019
8.8.8.8,62ms,Wed Dec  4 14:42:02 2019
8.8.8.8,8ms,Wed Dec  4 14:42:17 2019
8.8.8.8,8ms,Wed Dec  4 14:42:32 2019
